ID,Tên sản phẩm,Phân loại,Giá,Giá gốc,Nhãn (Badge),Mô tả ngắn,Danh mục,Dung tích (Capacity),Thẻ (Tags),Ảnh chính,Ảnh bổ sung,Mô tả chi tiết,Video URL
,,Dịp khác,50.000 đ,,,,,,,,,,
4,CARD SPOTIFY IN THEO YÊU CẦU (1 SET 08 CARDS),Mẫu 1 - Trắng,50.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",card-spotify-in-theo-yeu-cau-1,"card-spotify-in-theo-yeu-cau-2, card-spotify-in-theo-yeu-cau-3, card-spotify-in-theo-yeu-cau-4, card-spotify-in-theo-yeu-cau-5, card-spotify-in-theo-yeu-cau-6, card-spotify-in-theo-yeu-cau-7, card-spotify-in-theo-yeu-cau-8, card-spotify-in-theo-yeu-cau-9","Card Spotify In Theo Yêu Cầu – Giai Điệu Lưu Giữ Yêu Thương
Card Spotify in theo yêu cầu là món quà tặng độc đáo, giúp bạn thay lời muốn nói qua những giai điệu. Sản phẩm cho phép cá nhân hóa hoàn toàn hình ảnh và bài nhạc yêu thích, biến mỗi chiếc thẻ thành một kỷ vật mang đậm dấu ấn cá nhân.
Đây là cách tinh tế nhất để bạn lưu giữ bài hát yêu thích làm kỷ niệm hoặc khéo léo gửi gắm yêu thương chân thành đến người nhận. Với thiết kế nhỏ gọn, thẻ vô cùng đa năng và tiện dụng để trang trí ốp lưng điện thoại, kẹp vào sổ lưu bút, hay đặt trong ví cầm tay. Chỉ cần quét mã, âm nhạc vang lên sẽ đánh thức mọi cảm xúc trọn vẹn nhất!
1 set bao gồm 8 card có thể in giống nhau hoặc khác nhau.",https://drive.google.com/file/d/1L5LJZYIsNitB353e62xhhtHXxmdHEYmj/view?usp=sharing
,,Mẫu 1 - Đen,50.000 đ,,,,,,,,,,
,,Mẫu 2 - Trắng,50.000 đ,,,,,,,,,,
,,Mẫu 2 - Đen,50.000 đ,,,,,,,,,,
5,"ẢNH PHOTOBOOTH, PHOTOSTRIP IN THEO YÊU CẦU (1 SET 06 ẢNH)",Ảnh PTB 5x15cm,40.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",anh-photobooth-photostrip-in-theo-yeu-cau-1,"anh-photobooth-photostrip-in-theo-yeu-cau-2, anh-photobooth-photostrip-in-theo-yeu-cau-3, anh-photobooth-photostrip-in-theo-yeu-cau-4, anh-photobooth-photostrip-in-theo-yeu-cau-5, anh-photobooth-photostrip-in-theo-yeu-cau-6","Ảnh Photobooth & Photostrip In Theo Yêu Cầu – Cuộn Phim Lưu Giữ Thanh Xuân
Những dải ảnh Photostrip hay Photobooth in theo yêu cầu không chỉ là món quà tặng nhỏ xinh mà còn là cách tuyệt vời nhất để bạn lưu giữ trọn vẹn những khoảnh khắc kỷ niệm đáng giá. Bằng công nghệ in sắc nét trên nền giấy ảnh chất lượng cao, cán bóng 02 mặt, mỗi khung hình đều hiện lên thật sống động, chân thực và bền màu với thời gian.
Sản phẩm mang thiết kế vintage, vô cùng lý tưởng để bạn thỏa sức sáng tạo: từ việc trang trí ốp lưng điện thoại, dán góc bàn làm việc, cho đến kẹp vào sổ lưu bút hay tô điểm cho các set quà. Hãy biến những bức ảnh kỹ thuật số thành kỷ vật hiện hữu, gói ghém trọn vẹn cảm xúc để gửi trao!
1 set bao gồm 6 ảnh có thể in giống nhau hoặc khác nhau.",https://drive.google.com/file/d/1ra_9jaTzxdHzekv8FCz0HwAFd0zYs653/view?usp=sharing
,,Ảnh PTB 10x15cm,75.000 đ,,,,,,,,,,
,,Khung trắng 03 ảnh,50.000 đ,,,,,,,,,,
,,Khung trắng 04 ảnh,60.000 đ,,,,,,,,,,
,,Khung đen 03 ảnh,50.000 đ,,,,,,,,,,
,,Khung đen 04 ảnh,60.000 đ,,,,,,,,,,
,,Khung film,50.000 đ,,,,,,,,,,
,,Chèn chữ A,60.000 đ,,,,,,,,,,
,,Chèn chữ B,60.000 đ,,,,,,,,,,
,,Chèn chữ C,60.000 đ,,,,,,,,,,
6,ẢNH 6X9CM IN THEO YÊU CẦU (1 SET 10 ẢNH),Tràn viền,40.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",anh-6x9cm-in-theo-yeu-cau-1,"anh-6x9cm-in-theo-yeu-cau-2, anh-6x9cm-in-theo-yeu-cau-3, anh-6x9cm-in-theo-yeu-cau-4, anh-6x9cm-in-theo-yeu-cau-5","Ảnh 6x9cm In Theo Yêu Cầu – Lưu Giữ Trọn Vẹn Ký Ức
Ảnh 6x9cm in theo yêu cầu là lựa chọn hoàn hảo để bạn hiện thực hóa và lưu giữ trọn vẹn những kỷ niệm quý giá. Với chất liệu giấy ảnh chất lượng cao kết hợp công nghệ in sắc nét, cán bóng 2 mặt, mỗi khung hình đều hiện lên vô cùng sống động, chân thực và bền màu theo năm tháng.
Kích thước 6x9cm nhỏ gọn, tinh tế, rất lý tưởng để bạn thỏa sức sáng tạo: trang trí không gian sống, góc bàn làm việc, đặt sau ốp lưng điện thoại, hay tỉ mỉ dán vào những cuốn sổ lưu bút thanh xuân. Hãy biến khoảnh khắc yêu thương kỹ thuật số thành kỷ vật hiện hữu đong đầy cảm xúc!
1 set bao gồm 10 ảnh có thể in giống nhau hoặc khác nhau.",https://drive.google.com/file/d/1qCXCFDgZ7HNuvT8ytqRlocbYzyyMk5mc/view?usp=sharing
,,Viền nhỏ,40.000 đ,,,,,,,,,,
,,Viền trắng,40.000 đ,,,,,,,,,,
,,Viền màu,40.000 đ,,,,,,,,,,
,,Chèn chữ,50.000 đ,,,,,,,,,,
7,CHỨNG NHẬN IN THEO YÊU CẦU,GIẤY CHỨNG NHẬN A5,20.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",https://shopee.vn/Gi%E1%BA%A5y-Ch%E1%BB%A9ng-Nh%E1%BA%ADn-T%C3%ACnh-Y%C3%AAu-A5-In-Theo-Y%C3%AAu-C%E1%BA%A7u-Love-Certificate-Ch%E1%BB%A9ng-Ch%E1%BB%89-T%C3%ACnh-B%E1%BA%A1n-Qu%C3%A0-T%E1%BA%B7ng-Ng%C6%B0%E1%BB%9Di-Y%C3%AAu-B%E1%BA%A1n-B%C3%A8-K%E1%BB%B7-Ni%E1%BB%87m-i.33348720.20786751161?extraParams=%7B%22display_model_id%22%3A166250355473%2C%22model_selection_logic%22%3A3%7D,,,
,,GIẤY CHỨNG NHẬN KÈM KHUNG A5,50.000 đ,,,,,,,,,,
